epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,60.0772,0.6972,0.84254,1.09011,0.75494,0.83333,0.82917,0.68821,0.73361,0.87971,1.11882,0.000188193,0.000188193,0.000188193
60,61.1365,0.80906,0.95202,1.13871,0.72734,0.82314,0.82917,0.67992,0.73756,0.90539,1.11894,0.000184566,0.000184566,0.000184566
61,62.0734,0.76677,0.86121,1.12299,0.72734,0.82314,0.82917,0.67992,0.73756,0.90539,1.11894,0.000180706,0.000180706,0.000180706
62,63.0293,0.78787,0.83647,1.08044,0.72734,0.82314,0.82917,0.67992,0.73756,0.90539,1.11894,0.000176613,0.000176613,0.000176613
63,63.9974,0.67064,0.76793,1.07111,0.5262,0.95822,0.82917,0.73796,0.59827,0.85737,1.02462,0.000172287,0.000172287,0.000172287
64,64.9431,0.66995,0.78066,1.03872,0.5262,0.95822,0.82917,0.73796,0.59827,0.85737,1.02462,0.000167728,0.000167728,0.000167728
65,65.8727,0.62501,0.80171,1.04192,0.5262,0.95822,0.82917,0.73796,0.59827,0.85737,1.02462,0.000162936,0.000162936,0.000162936
66,66.8521,0.64682,0.80366,1.02658,0.52914,0.96279,0.82917,0.76283,0.47045,0.82223,0.96174,0.000157912,0.000157912,0.000157912
67,67.7914,0.82216,0.80366,1.13533,0.52914,0.96279,0.82917,0.76283,0.47045,0.82223,0.96174,0.000152654,0.000152654,0.000152654
68,68.7597,0.74956,0.77342,1.14292,0.52914,0.96279,0.82917,0.76283,0.47045,0.82223,0.96174,0.000147164,0.000147164,0.000147164
69,69.7533,0.60296,0.77304,1.03423,0.57965,0.90881,0.82917,0.77942,0.43269,0.73925,0.94895,0.00014144,0.00014144,0.00014144
70,70.665,0.57122,0.72079,1.02283,0.57965,0.90881,0.82917,0.77942,0.43269,0.73925,0.94895,0.000135484,0.000135484,0.000135484
71,71.5958,0.68169,0.81252,1.07085,0.57965,0.90881,0.82917,0.77942,0.43269,0.73925,0.94895,0.000129294,0.000129294,0.000129294
72,72.5732,0.67678,0.72932,1.08425,0.57479,0.88746,0.82917,0.76283,0.46789,0.67799,0.96576,0.000122872,0.000122872,0.000122872
73,73.4948,0.66141,0.74941,1.06069,0.57479,0.88746,0.82917,0.76283,0.46789,0.67799,0.96576,0.000116216,0.000116216,0.000116216
74,74.4454,0.7023,0.81082,1.06648,0.57479,0.88746,0.82917,0.76283,0.46789,0.67799,0.96576,0.000109328,0.000109328,0.000109328
75,75.4208,0.55898,0.66721,1.02748,0.55874,0.94431,0.82917,0.76283,0.52968,0.64037,0.99213,0.000102207,0.000102207,0.000102207
76,77.4626,0.58387,0.69061,0.99661,0.55874,0.94431,0.82917,0.76283,0.52968,0.64037,0.99213,9.48529e-05,9.48529e-05,9.48529e-05
77,78.7365,0.53623,0.66344,0.96123,0.55874,0.94431,0.82917,0.76283,0.52968,0.64037,0.99213,8.72659e-05,8.72659e-05,8.72659e-05
78,79.738,0.51534,0.65346,0.96156,0.57004,0.99557,0.82917,0.72967,0.6356,0.63856,1.05537,7.94459e-05,7.94459e-05,7.94459e-05
79,80.6828,0.48155,0.6396,0.9657,0.57004,0.99557,0.82917,0.72967,0.6356,0.63856,1.05537,7.13929e-05,7.13929e-05,7.13929e-05
80,81.6652,0.47828,0.64487,0.94747,0.57004,0.99557,0.82917,0.72967,0.6356,0.63856,1.05537,6.31071e-05,6.31071e-05,6.31071e-05
81,82.7506,0.48362,0.64576,0.92078,0.53836,0.99188,0.82917,0.6965,0.70745,0.63507,1.09958,5.45882e-05,5.45882e-05,5.45882e-05
82,83.7717,0.53139,0.6458,0.98068,0.53836,0.99188,0.82917,0.6965,0.70745,0.63507,1.09958,4.58365e-05,4.58365e-05,4.58365e-05
83,84.7321,0.45709,0.64679,0.91654,0.53836,0.99188,0.82917,0.6965,0.70745,0.63507,1.09958,3.68518e-05,3.68518e-05,3.68518e-05
84,85.7004,0.54053,0.63156,0.96115,0.53228,0.99281,0.82917,0.70479,0.69444,0.63067,1.0958,2.76341e-05,2.76341e-05,2.76341e-05
85,86.6158,0.55342,0.63486,0.94506,0.53228,0.99281,0.82917,0.70479,0.69444,0.63067,1.0958,1.81835e-05,1.81835e-05,1.81835e-05
